2026-07-29 17:16:14,688 INFO corporate_actions: 4064 candidate securities (gaps). NOTE: gap selection is high-coverage, not complete — small actions fall below the threshold; run `verify` afterwards.
2026-07-29 17:17:52,274 ERROR yfinance: $APLS: possibly delisted; no timezone found
2026-07-29 17:17:52,616 ERROR yfinance: $APLT: possibly delisted; no timezone found
2026-07-29 17:17:53,205 ERROR yfinance: $APMIW: possibly delisted; no timezone found
2026-07-29 17:17:53,560 ERROR yfinance: $APN.WS: possibly delisted; no timezone found
2026-07-29 17:17:53,910 ERROR yfinance: $APOP: possibly delisted; no timezone found
2026-07-29 17:17:54,254 ERROR yfinance: $APOPW: possibly delisted; no timezone found
2026-07-29 17:17:55,078 ERROR yfinance: $APPH: possibly delisted; no timezone found
2026-07-29 17:17:55,406 ERROR yfinance: $APPHW: possibly delisted; no timezone found
2026-07-29 17:17:56,868 ERROR yfinance: $APRN: possibly delisted; no timezone found
2026-07-29 17:17:57,195 ERROR yfinance: $APSG.WS: possibly delisted; no timezone found
2026-07-29 17:17:57,548 ERROR yfinance: $APTMW: possibly delisted; no timezone found
2026-07-29 17:17:57,872 ERROR yfinance: $APTO: possibly delisted; no timezone found
2026-07-29 17:17:58,178 ERROR yfinance: $APTX: possibly delisted; no timezone found
2026-07-29 17:17:59,468 ERROR yfinance: $APXIW: possibly delisted; no timezone found
2026-07-29 17:18:01,344 ERROR yfinance: $AQUNR: possibly delisted; no timezone found
2026-07-29 17:18:02,070 ERROR yfinance: $ARBGW: possibly delisted; no timezone found
2026-07-29 17:18:02,705 ERROR yfinance: $ARBKL: possibly delisted; no timezone found
2026-07-29 17:18:03,124 ERROR yfinance: $ARCKW: possibly delisted; no timezone found
2026-07-29 17:18:06,112 ERROR yfinance: $ARGUW: possibly delisted; no timezone found
2026-07-29 17:18:06,395 ERROR yfinance: $ARIZR: possibly delisted; no timezone found
2026-07-29 17:18:06,746 ERROR yfinance: $ARIZW: possibly delisted; no timezone found
2026-07-29 17:18:07,033 ERROR yfinance: ARKOW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 17:18:08,319 ERROR yfinance: $ARNA: possibly delisted; no timezone found
2026-07-29 17:18:08,656 ERROR yfinance: $ARPO: possibly delisted; no timezone found
2026-07-29 17:18:09,567 ERROR yfinance: $ARRWW: possibly delisted; no timezone found
2026-07-29 17:18:10,234 ERROR yfinance: $ARTAW: possibly delisted; no timezone found
2026-07-29 17:18:10,535 ERROR yfinance: $ARTEW: possibly delisted; no timezone found
2026-07-29 17:18:11,225 ERROR yfinance: ARTLW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 17:18:11,618 ERROR yfinance: $ARVL: possibly delisted; no timezone found
2026-07-29 17:18:11,900 ERROR yfinance: $ARVLW: possibly delisted; no timezone found
2026-07-29 17:18:13,406 ERROR yfinance: $ARYA: possibly delisted; no timezone found
2026-07-29 17:18:14,409 ERROR yfinance: $ASAP: possibly delisted; no timezone found
2026-07-29 17:18:14,736 ERROR yfinance: $ASAQ.WS: possibly delisted; no timezone found
2026-07-29 17:18:15,098 ERROR yfinance: $ASAXW: possibly delisted; no timezone found
2026-07-29 17:18:15,411 ERROR yfinance: $ASCAR: possibly delisted; no timezone found
2026-07-29 17:18:15,723 ERROR yfinance: $ASCAW: possibly delisted; no timezone found
2026-07-29 17:18:16,028 ERROR yfinance: $ASCBR: possibly delisted; no timezone found
2026-07-29 17:18:16,333 ERROR yfinance: $ASCBW: possibly delisted; no timezone found
2026-07-29 17:18:17,243 ERROR yfinance: $ASLEW: possibly delisted; no timezone found
2026-07-29 17:18:17,566 ERROR yfinance: $ASLN: possibly delisted; no timezone found
2026-07-29 17:18:18,879 ERROR yfinance: $ASPAW: possibly delisted; no timezone found
2026-07-29 17:18:20,069 ERROR yfinance: $ASPCW: possibly delisted; no timezone found
2026-07-29 17:18:20,364 ERROR yfinance: $ASPL.WS: possibly delisted; no timezone found
2026-07-29 17:18:22,644 ERROR yfinance: $ASTR: possibly delisted; no timezone found
2026-07-29 17:18:22,942 ERROR yfinance: $ASTRW: possibly delisted; no timezone found
2026-07-29 17:18:23,615 ERROR yfinance: ASTSW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 17:18:24,542 ERROR yfinance: $ASZ.WS: possibly delisted; no timezone found
2026-07-29 17:18:24,925 ERROR yfinance: $AT: possibly delisted; no timezone found
2026-07-29 17:18:25,521 ERROR yfinance: $ATA.WS: possibly delisted; no timezone found
2026-07-29 17:18:26,115 ERROR yfinance: $ATAKR: possibly delisted; no timezone found
2026-07-29 17:18:26,404 ERROR yfinance: $ATAKW: possibly delisted; no timezone found
2026-07-29 17:18:26,737 ERROR yfinance: $ATAQ.WS: possibly delisted; no timezone found
2026-07-29 17:18:27,043 ERROR yfinance: $ATAX: possibly delisted; no timezone found
2026-07-29 17:18:27,385 ERROR yfinance: $ATCXW: possibly delisted; no timezone found
2026-07-29 17:18:28,191 ERROR yfinance: $ATEK.WS: possibly delisted; no timezone found
2026-07-29 17:18:29,787 ERROR yfinance: $ATHA: possibly delisted; no timezone found
2026-07-29 17:18:30,410 ERROR yfinance: $ATHN.WS: possibly delisted; no timezone found
2026-07-29 17:18:30,721 ERROR yfinance: $ATHX: possibly delisted; no timezone found
2026-07-29 17:18:30,999 ERROR yfinance: $ATIF: possibly delisted; no timezone found
2026-07-29 17:18:31,315 ERROR yfinance: $ATIP: possibly delisted; no timezone found
2026-07-29 17:18:31,614 ERROR yfinance: $ATIP.WS: possibly delisted; no timezone found
2026-07-29 17:18:31,949 ERROR yfinance: $ATMR.WS: possibly delisted; no timezone found
2026-07-29 17:18:32,253 ERROR yfinance: $ATNF: possibly delisted; no timezone found
2026-07-29 17:18:32,571 ERROR yfinance: $ATNFW: possibly delisted; no timezone found
2026-07-29 17:18:33,245 ERROR yfinance: $ATNX: possibly delisted; no timezone found
2026-07-29 17:18:34,882 ERROR yfinance: $ATRS: possibly delisted; no timezone found
2026-07-29 17:18:35,188 ERROR yfinance: $ATSPW: possibly delisted; no timezone found
2026-07-29 17:18:35,471 ERROR yfinance: $ATTO: possibly delisted; no timezone found
2026-07-29 17:18:35,879 ERROR yfinance: $ATUS: possibly delisted; no timezone found
2026-07-29 17:18:36,155 ERROR yfinance: $ATV: possibly delisted; no timezone found
2026-07-29 17:18:36,447 ERROR yfinance: $ATVCW: possibly delisted; no timezone found
2026-07-29 17:18:37,539 ERROR yfinance: $ATY: possibly delisted; no timezone found
2026-07-29 17:18:39,115 ERROR yfinance: $AURCW: possibly delisted; no timezone found
2026-07-29 17:18:39,754 ERROR yfinance: $AUS.WS: possibly delisted; no timezone found
2026-07-29 17:18:40,766 ERROR yfinance: $AUTO: possibly delisted; no timezone found
