2026-07-29 19:32:45,510 INFO corporate_actions: 6873 candidate securities (gaps). NOTE: gap selection is high-coverage, not complete — small actions fall below the threshold; run `verify` afterwards.
2026-07-29 19:35:27,142 ERROR yfinance: $APOP: possibly delisted; no timezone found
2026-07-29 19:35:27,455 ERROR yfinance: $APOPW: possibly delisted; no timezone found
2026-07-29 19:35:27,763 ERROR yfinance: $APOPA: possibly delisted; no timezone found
2026-07-29 19:35:28,388 ERROR yfinance: $APPH: possibly delisted; no timezone found
2026-07-29 19:35:28,738 ERROR yfinance: $APPHW: possibly delisted; no timezone found
2026-07-29 19:35:30,188 ERROR yfinance: $APRN: possibly delisted; no timezone found
2026-07-29 19:35:30,551 ERROR yfinance: $APSG.WS: possibly delisted; no timezone found
2026-07-29 19:35:30,862 ERROR yfinance: $APTMW: possibly delisted; no timezone found
2026-07-29 19:35:31,223 ERROR yfinance: $APTO: possibly delisted; no timezone found
2026-07-29 19:35:31,584 ERROR yfinance: $APTX: possibly delisted; no timezone found
2026-07-29 19:35:33,025 ERROR yfinance: $APXIW: possibly delisted; no timezone found
2026-07-29 19:35:34,968 ERROR yfinance: $AQUNR: possibly delisted; no timezone found
2026-07-29 19:35:35,632 ERROR yfinance: $ARAV: possibly delisted; no timezone found
2026-07-29 19:35:37,227 ERROR yfinance: $ARBGW: possibly delisted; no timezone found
2026-07-29 19:35:37,869 ERROR yfinance: $ARBKL: possibly delisted; no timezone found
2026-07-29 19:35:38,140 ERROR yfinance: $ARCKW: possibly delisted; no timezone found
2026-07-29 19:35:41,196 ERROR yfinance: $ARGUW: possibly delisted; no timezone found
2026-07-29 19:35:42,056 ERROR yfinance: $ARIZ: possibly delisted; no timezone found
2026-07-29 19:35:42,354 ERROR yfinance: $ARIZR: possibly delisted; no timezone found
2026-07-29 19:35:42,724 ERROR yfinance: $ARIZU: possibly delisted; no timezone found
2026-07-29 19:35:43,214 ERROR yfinance: $ARIZW: possibly delisted; no timezone found
2026-07-29 19:35:44,122 ERROR yfinance: ARKOW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:35:46,429 ERROR yfinance: $ARNA: possibly delisted; no timezone found
2026-07-29 19:35:46,734 ERROR yfinance: $ARPO: possibly delisted; no timezone found
2026-07-29 19:35:48,767 ERROR yfinance: $ARRW: possibly delisted; no timezone found
2026-07-29 19:35:49,099 ERROR yfinance: $ARRWU: possibly delisted; no timezone found
2026-07-29 19:35:49,453 ERROR yfinance: $ARRWW: possibly delisted; no timezone found
2026-07-29 19:35:50,171 ERROR yfinance: $ARTAW: possibly delisted; no timezone found
2026-07-29 19:35:50,534 ERROR yfinance: $ARTEW: possibly delisted; no timezone found
2026-07-29 19:35:51,139 ERROR yfinance: ARTLW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:35:52,452 ERROR yfinance: $ARVL: possibly delisted; no timezone found
2026-07-29 19:35:52,797 ERROR yfinance: $ARVLW: possibly delisted; no timezone found
2026-07-29 19:35:54,120 ERROR yfinance: $ARYA: possibly delisted; no timezone found
2026-07-29 19:35:54,389 ERROR yfinance: $ARYD: possibly delisted; no timezone found
2026-07-29 19:35:55,006 ERROR yfinance: $ASAP: possibly delisted; no timezone found
